FacilityName,FacilityAddress,Borough
FacilityName,FacilityAddress,Borough
Engine 4/Ladder 15,42 South Street,Manhattan
Engine 10/Ladder 10,124 Liberty Street,Manhattan
Engine 6,49 Beekman Street,Manhattan
Engine 7/Ladder 1/Battalion 1/Manhattan Borough Command,100-104 Duane Street,Manhattan
Ladder 8,14 North Moore Street,Manhattan
Engine 9/Ladder 6,75 Canal Street,Manhattan
Engine 15/Ladder 18/Battalion 4,25 Pitt Street,Manhattan
Engine 28/Ladder 11,222 East 2nd Street,Manhattan
Engine 5,340 East 14th Street,Manhattan
Engine 55,363 Broome Street,Manhattan
Ladder 20/Division 1,253 Lafayette Street,Manhattan
Engine 24/Ladder 5/Battalion 2,227-29 6th Avenue,Manhattan
Engine 33/Ladder 9,42 Great Jones Street,Manhattan
Ladder 3/Battalion 6,108 East 13th Street,Manhattan
Squad 18,132 West 10th Street,Manhattan
Engine 34/Ladder 21,440 West 38th Street,Manhattan
Engine 26,220 West 37th Street,Manhattan
Engine 3/Ladder 12/Battalion 7,150 West 19th Street,Manhattan
Engine 1/Ladder 24,142-46 West 31st Street,Manhattan
Engine 14,14 East 18th Street,Manhattan
Engine 16 / Ladder 7 ,234 East 29th Street,Manhattan
Engine 21,238 East 40th Street,Manhattan
Engine 54/Ladder 4/Battalion 9,782 8th Avenue,Manhattan
Engine 23,215 West 58th Street,Manhattan
Rescue 1,530 West 43rd Street,Manhattan
Engine 40/Ladder 35,131 Amsterdam Avenue  ,Manhattan
Ladder 25/District Office 4/Division 3,205-207 West 77th Street,Manhattan
Engine 74,120 West 83rd Street ,Manhattan
Engine 65,33 West 43rd Street,Manhattan
Engine 8 / Ladder 2 / Battalion 8,167 East 51st Street,Manhattan
Engine 39/Ladder 16,157-59 East 67th Street,Manhattan
Engine 44,221 East 75th Street,Manhattan
Engine 22/Ladder 13/Battalion 10,159 East 85th Street,Manhattan
Engine 58/Ladder 26,1367 5th Avenue,Manhattan
Engine 53/Ladder 43,1836-46 3rd  Avenue,Manhattan
Engine 91,242 East 111th Street,Manhattan
Engine 35/Ladder 14,2282 3rd Avenue,Manhattan
Engine 76/Ladder 22/Battalion 11,145-51 West 100th Street,Manhattan
Engine 47,502 West 113th Street,Manhattan
Engine 59/Ladder 30,111 West 133rd Street,Manhattan
Engine 37/Ladder 40,415 West 125th Street,Manhattan
Engine 69/Ladder 28/Battalion 16,248 West 143rd Street,Manhattan
Engine 80/Ladder 23,503 West 139th Street,Manhattan
Engine 84/Ladder 34,513 West 161st Street,Manhattan
Engine 67,518 West 170th Street,Manhattan
Engine 93/Ladder 45/Battalion 13,515 West 181st Street,Manhattan
Engine 95/Ladder 36,29 Vermilyea Avenue,Manhattan
Marine 1,Little West 12th Street/Hudson River,Manhattan
Engine 60/Ladder 17/Battalion 14,341 East 143rd Street,Bronx
Squad 41,330 East 150th Street,Bronx
